labels,label
"{'rel_t_start': 36.798794608, 'rel_t_end': 40.008945772, 'anomaly': 'depression', 'transversity': 'no_transverse', 'severity': 'high_severity'}",0
"{'rel_t_start': 42.301404734, 'rel_t_end': 42.559364234, 'anomaly': 'depression', 'transversity': 'transverse', 'severity': 'small_severity'}",0
"{'rel_t_start': 43.089073067, 'rel_t_end': 43.258966418, 'anomaly': 'depression', 'transversity': 'transverse', 'severity': 'small_severity'}",0
"{'rel_t_start': 44.40902977, 'rel_t_end': 45.911342176, 'anomaly': 'bump', 'transversity': 'transverse', 'severity': 'middle_severity'}",0
"{'rel_t_start': 48.018989805, 'rel_t_end': 49.059075619, 'anomaly': 'depression', 'transversity': 'transverse', 'severity': 'middle_severity'}",0
"{'rel_t_start': 49.499369007, 'rel_t_end': 50.149129766, 'anomaly': 'bump', 'transversity': 'transverse', 'severity': 'small_severity'}",0
"{'rel_t_start': 50.258772044, 'rel_t_end': 50.830045377, 'anomaly': 'bump', 'transversity': 'no_transverse', 'severity': 'middle_severity'}",0
"{'rel_t_start': 51.73904358, 'rel_t_end': 52.319044969, 'anomaly': 'depression', 'transversity': 'transverse', 'severity': 'small_severity'}",0
"{'rel_t_start': 53.058797616, 'rel_t_end': 53.869010968, 'anomaly': 'bump', 'transversity': 'transverse', 'severity': 'small_severity'}",0
"{'rel_t_start': 54.409092208, 'rel_t_end': 54.549185615, 'anomaly': 'crack', 'transversity': 'no_transverse', 'severity': 'small_severity'}",0
"{'rel_t_start': 55.338794226, 'rel_t_end': 55.909600189, 'anomaly': 'depression', 'transversity': 'transverse', 'severity': 'small_severity'}",0
"{'rel_t_start': 56.128961189, 'rel_t_end': 56.65880117, 'anomaly': 'depression', 'transversity': 'transverse', 'severity': 'small_severity'}",0
"{'rel_t_start': 57.442757225, 'rel_t_end': 58.019011817, 'anomaly': 'depression', 'transversity': 'no_transverse', 'severity': 'middle_severity'}",0
"{'rel_t_start': 58.889204446, 'rel_t_end': 59.418844613, 'anomaly': 'crack', 'transversity': 'no_transverse', 'severity': 'middle_severity'}",0
"{'rel_t_start': 59.812186594, 'rel_t_end': 60.289171371, 'anomaly': 'bump', 'transversity': 'no_transverse', 'severity': 'middle_severity'}",0
"{'rel_t_start': 60.558779853, 'rel_t_end': 61.131945389, 'anomaly': 'bump', 'transversity': 'transverse', 'severity': 'middle_severity'}",0
"{'rel_t_start': 65.129114442, 'rel_t_end': 65.43977822, 'anomaly': 'manhole', 'transversity': 'no_transverse', 'severity': 'small_severity'}",0
"{'rel_t_start': 82.398898562, 'rel_t_end': 83.880569857, 'anomaly': 'depression', 'transversity': 'no_transverse', 'severity': 'small_severity'}",0
"{'rel_t_start': 88.669051262, 'rel_t_end': 88.969054558, 'anomaly': 'crack', 'transversity': 'no_transverse', 'severity': 'small_severity'}",0
"{'rel_t_start': 95.529038239, 'rel_t_end': 96.229428924, 'anomaly': 'bump', 'transversity': 'transverse', 'severity': 'small_severity'}",0
"{'rel_t_start': 103.979257882, 'rel_t_end': 104.51902753, 'anomaly': 'depression', 'transversity': 'no_transverse', 'severity': 'middle_severity'}",0
"{'rel_t_start': 104.659237252, 'rel_t_end': 105.308888956, 'anomaly': 'bump', 'transversity': 'transverse', 'severity': 'small_severity'}",0
"{'rel_t_start': 107.728957528, 'rel_t_end': 108.518930972, 'anomaly': 'depression', 'transversity': 'no_transverse', 'severity': 'small_severity'}",0
"{'rel_t_start': 109.909159342, 'rel_t_end': 110.178896564, 'anomaly': 'crack', 'transversity': 'no_transverse', 'severity': 'small_severity'}",0
"{'rel_t_start': 110.708846452, 'rel_t_end': 110.978957434, 'anomaly': 'crack', 'transversity': 'no_transverse', 'severity': 'small_severity'}",0
"{'rel_t_start': 137.90898314, 'rel_t_end': 138.329533973, 'anomaly': 'depression', 'transversity': 'no_transverse', 'severity': 'small_severity'}",0
"{'rel_t_start': 138.698969491, 'rel_t_end': 139.330209472, 'anomaly': 'bump', 'transversity': 'transverse', 'severity': 'small_severity'}",0
"{'rel_t_start': 139.888938972, 'rel_t_end': 140.859992323, 'anomaly': 'bump', 'transversity': 'no_transverse', 'severity': 'middle_severity'}",0
"{'rel_t_start': 141.908980693, 'rel_t_end': 142.338897767, 'anomaly': 'crack', 'transversity': 'no_transverse', 'severity': 'small_severity'}",0
"{'rel_t_start': 142.549194878, 'rel_t_end': 143.26150097, 'anomaly': 'crack', 'transversity': 'no_transverse', 'severity': 'small_severity'}",0
"{'rel_t_start': 143.718830192, 'rel_t_end': 144.529788525, 'anomaly': 'crack', 'transversity': 'no_transverse', 'severity': 'small_severity'}",0
"{'rel_t_start': 146.438872079, 'rel_t_end': 146.999561857, 'anomaly': 'depression', 'transversity': 'no_transverse', 'severity': 'small_severity'}",0
"{'rel_t_start': 148.679143911, 'rel_t_end': 149.418888577, 'anomaly': 'crack', 'transversity': 'no_transverse', 'severity': 'small_severity'}",0
"{'rel_t_start': 150.409301521, 'rel_t_end': 150.71883878, 'anomaly': 'crack', 'transversity': 'no_transverse', 'severity': 'small_severity'}",0
"{'rel_t_start': 151.721145076, 'rel_t_end': 152.298898909, 'anomaly': 'crack', 'transversity': 'no_transverse', 'severity': 'small_severity'}",0
"{'rel_t_start': 152.469246798, 'rel_t_end': 152.768964261, 'anomaly': 'crack', 'transversity': 'no_transverse', 'severity': 'small_severity'}",0
"{'rel_t_start': 152.889151575, 'rel_t_end': 154.018941945, 'anomaly': 'bump', 'transversity': 'transverse', 'severity': 'small_severity'}",0
"{'rel_t_start': 161.489047996, 'rel_t_end': 161.898987237, 'anomaly': 'depression', 'transversity': 'no_transverse', 'severity': 'small_severity'}",0
"{'rel_t_start': 163.790129143, 'rel_t_end': 164.25954855, 'anomaly': 'depression', 'transversity': 'no_transverse', 'severity': 'small_severity'}",0
"{'rel_t_start': 180.069014337, 'rel_t_end': 180.469056966, 'anomaly': 'crack', 'transversity': 'no_transverse', 'severity': 'small_severity'}",0
"{'rel_t_start': 180.678957318, 'rel_t_end': 181.489078262, 'anomaly': 'bump', 'transversity': 'transverse', 'severity': 'middle_severity'}",0
"{'rel_t_start': 181.568809595, 'rel_t_end': 182.389188687, 'anomaly': 'bump', 'transversity': 'transverse', 'severity': 'small_severity'}",0
"{'rel_t_start': 187.980425777, 'rel_t_end': 189.038841646, 'anomaly': 'bump', 'transversity': 'transverse', 'severity': 'small_severity'}",0
"{'rel_t_start': 215.218906909, 'rel_t_end': 215.709223149, 'anomaly': 'crack', 'transversity': 'no_transverse', 'severity': 'small_severity'}",0
"{'rel_t_start': 223.078884682, 'rel_t_end': 223.639293052, 'anomaly': 'depression', 'transversity': 'no_transverse', 'severity': 'small_severity'}",0
"{'rel_t_start': 229.989505733, 'rel_t_end': 230.360997474, 'anomaly': 'crack', 'transversity': 'no_transverse', 'severity': 'small_severity'}",0
"{'rel_t_start': 230.579083566, 'rel_t_end': 231.398982306, 'anomaly': 'bump', 'transversity': 'transverse', 'severity': 'small_severity'}",0
"{'rel_t_start': 237.14882671, 'rel_t_end': 237.399056877, 'anomaly': 'crack', 'transversity': 'no_transverse', 'severity': 'small_severity'}",0
"{'rel_t_start': 237.548849432, 'rel_t_end': 237.889107451, 'anomaly': 'crack', 'transversity': 'no_transverse', 'severity': 'small_severity'}",0
"{'rel_t_start': 249.389144425, 'rel_t_end': 249.912347906, 'anomaly': 'crack', 'transversity': 'no_transverse', 'severity': 'small_severity'}",0
"{'rel_t_start': 249.998958647, 'rel_t_end': 250.969090295, 'anomaly': 'depression', 'transversity': 'no_transverse', 'severity': 'middle_severity'}",0
"{'rel_t_start': 250.998908369, 'rel_t_end': 251.499475757, 'anomaly': 'crack', 'transversity': 'no_transverse', 'severity': 'middle_severity'}",0
"{'rel_t_start': 255.95948044, 'rel_t_end': 257.369940643, 'anomaly': 'bump', 'transversity': 'transverse', 'severity': 'small_severity'}",0
"{'rel_t_start': 261.948931992, 'rel_t_end': 262.408879455, 'anomaly': 'crack', 'transversity': 'no_transverse', 'severity': 'small_severity'}",0
"{'rel_t_start': 263.189216528, 'rel_t_end': 263.738950269, 'anomaly': 'crack', 'transversity': 'no_transverse', 'severity': 'small_severity'}",0
"{'rel_t_start': 263.978925472, 'rel_t_end': 264.279170639, 'anomaly': 'crack', 'transversity': 'no_transverse', 'severity': 'small_severity'}",0
"{'rel_t_start': 265.429296249, 'rel_t_end': 266.02898373, 'anomaly': 'depression', 'transversity': 'no_transverse', 'severity': 'small_severity'}",0
"{'rel_t_start': 265.970011564, 'rel_t_end': 266.169403693, 'anomaly': 'crack', 'transversity': 'no_transverse', 'severity': 'small_severity'}",0
"{'rel_t_start': 266.978983563, 'rel_t_end': 267.299898785, 'anomaly': 'depression', 'transversity': 'no_transverse', 'severity': 'middle_severity'}",0
"{'rel_t_start': 267.188845155, 'rel_t_end': 267.620821711, 'anomaly': 'crack', 'transversity': 'no_transverse', 'severity': 'small_severity'}",0
"{'rel_t_start': 267.679039359, 'rel_t_end': 268.249046692, 'anomaly': 'depression', 'transversity': 'no_transverse', 'severity': 'small_severity'}",0
"{'rel_t_start': 268.239562284, 'rel_t_end': 268.91888484, 'anomaly': 'bump', 'transversity': 'no_transverse', 'severity': 'high_severity'}",0
"{'rel_t_start': 269.749262432, 'rel_t_end': 270.219063802, 'anomaly': 'crack', 'transversity': 'no_transverse', 'severity': 'middle_severity'}",0
"{'rel_t_start': 272.328987023, 'rel_t_end': 272.902056189, 'anomaly': 'depression', 'transversity': 'no_transverse', 'severity': 'small_severity'}",0
"{'rel_t_start': 273.408893374, 'rel_t_end': 273.6202553, 'anomaly': 'crack', 'transversity': 'no_transverse', 'severity': 'small_severity'}",0
"{'rel_t_start': 274.518939336, 'rel_t_end': 276.61940652, 'anomaly': 'crack', 'transversity': 'no_transverse', 'severity': 'middle_severity'}",0
"{'rel_t_start': 274.988975373, 'rel_t_end': 275.48072041, 'anomaly': 'depression', 'transversity': 'no_transverse', 'severity': 'middle_severity'}",0
"{'rel_t_start': 280.819064203, 'rel_t_end': 281.38888261, 'anomaly': 'crack', 'transversity': 'transverse', 'severity': 'small_severity'}",0
"{'rel_t_start': 283.249077775, 'rel_t_end': 283.449017201, 'anomaly': 'depression', 'transversity': 'no_transverse', 'severity': 'small_severity'}",0
"{'rel_t_start': 283.291722701, 'rel_t_end': 283.808856071, 'anomaly': 'crack', 'transversity': 'no_transverse', 'severity': 'small_severity'}",0
"{'rel_t_start': 285.419007441, 'rel_t_end': 286.138872959, 'anomaly': 'crack', 'transversity': 'no_transverse', 'severity': 'small_severity'}",0
"{'rel_t_start': 287.748929236, 'rel_t_end': 288.19883281, 'anomaly': 'crack', 'transversity': 'no_transverse', 'severity': 'small_severity'}",0
"{'rel_t_start': 288.378981754, 'rel_t_end': 288.989313957, 'anomaly': 'depression', 'transversity': 'no_transverse', 'severity': 'middle_severity'}",0
"{'rel_t_start': 289.73926879, 'rel_t_end': 290.438935345, 'anomaly': 'crack', 'transversity': 'no_transverse', 'severity': 'middle_severity'}",0
"{'rel_t_start': 290.088876845, 'rel_t_end': 290.279574549, 'anomaly': 'depression', 'transversity': 'no_transverse', 'severity': 'middle_severity'}",0
"{'rel_t_start': 290.589010567, 'rel_t_end': 291.058936512, 'anomaly': 'crack', 'transversity': 'no_transverse', 'severity': 'small_severity'}",0
"{'rel_t_start': 291.517136548, 'rel_t_end': 292.479571029, 'anomaly': 'crack', 'transversity': 'no_transverse', 'severity': 'small_severity'}",0
"{'rel_t_start': 291.539054493, 'rel_t_end': 291.87921203, 'anomaly': 'depression', 'transversity': 'no_transverse', 'severity': 'small_severity'}",0
"{'rel_t_start': 292.479571029, 'rel_t_end': 292.929034103, 'anomaly': 'crack', 'transversity': 'no_transverse', 'severity': 'middle_severity'}",0
"{'rel_t_start': 293.038780733, 'rel_t_end': 293.518874825, 'anomaly': 'crack', 'transversity': 'no_transverse', 'severity': 'small_severity'}",0
"{'rel_t_start': 293.638860806, 'rel_t_end': 294.029144065, 'anomaly': 'crack', 'transversity': 'no_transverse', 'severity': 'small_severity'}",0
"{'rel_t_start': 294.209869547, 'rel_t_end': 294.698836509, 'anomaly': 'crack', 'transversity': 'no_transverse', 'severity': 'small_severity'}",0
"{'rel_t_start': 294.819165602, 'rel_t_end': 298.540766655, 'anomaly': 'crack', 'transversity': 'no_transverse', 'severity': 'middle_severity'}",0
"{'rel_t_start': 297.579020767, 'rel_t_end': 297.978946267, 'anomaly': 'depression', 'transversity': 'transverse', 'severity': 'small_severity'}",0
"{'rel_t_start': 301.149199857, 'rel_t_end': 301.598768894, 'anomaly': 'crack', 'transversity': 'no_transverse', 'severity': 'small_severity'}",0
"{'rel_t_start': 301.879914783, 'rel_t_end': 302.209218431, 'anomaly': 'crack', 'transversity': 'no_transverse', 'severity': 'small_severity'}",0
"{'rel_t_start': 310.939613, 'rel_t_end': 311.64894911, 'anomaly': 'depression', 'transversity': 'transverse', 'severity': 'small_severity'}",0
"{'rel_t_start': 312.80918598, 'rel_t_end': 313.00927648, 'anomaly': 'crack', 'transversity': 'no_transverse', 'severity': 'small_severity'}",0
"{'rel_t_start': 330.544407118, 'rel_t_end': 331.609103765, 'anomaly': 'crack', 'transversity': 'no_transverse', 'severity': 'small_severity'}",0
"{'rel_t_start': 332.001281839, 'rel_t_end': 332.30940108, 'anomaly': 'crack', 'transversity': 'no_transverse', 'severity': 'small_severity'}",0
"{'rel_t_start': 332.914608598, 'rel_t_end': 333.380022209, 'anomaly': 'crack', 'transversity': 'no_transverse', 'severity': 'small_severity'}",0
"{'rel_t_start': 335.999101448, 'rel_t_end': 336.31908667, 'anomaly': 'crack', 'transversity': 'no_transverse', 'severity': 'small_severity'}",0
"{'rel_t_start': 336.519124133, 'rel_t_end': 337.379280188, 'anomaly': 'crack', 'transversity': 'no_transverse', 'severity': 'small_severity'}",0
"{'rel_t_start': 337.510145428, 'rel_t_end': 338.25920452, 'anomaly': 'bump', 'transversity': 'transverse', 'severity': 'high_severity'}",0
"{'rel_t_start': 340.699919186, 'rel_t_end': 341.202614833, 'anomaly': 'crack', 'transversity': 'no_transverse', 'severity': 'small_severity'}",0
"{'rel_t_start': 341.400287278, 'rel_t_end': 341.77908737, 'anomaly': 'crack', 'transversity': 'no_transverse', 'severity': 'small_severity'}",0
"{'rel_t_start': 357.389908083, 'rel_t_end': 358.089135694, 'anomaly': 'bump', 'transversity': 'transverse', 'severity': 'middle_severity'}",0
"{'rel_t_start': 367.508883725, 'rel_t_end': 368.27053704, 'anomaly': 'bump', 'transversity': 'transverse', 'severity': 'small_severity'}",0
"{'rel_t_start': 374.919984221, 'rel_t_end': 375.14898635, 'anomaly': 'bump', 'transversity': 'transverse', 'severity': 'middle_severity'}",0
"{'rel_t_start': 390.939342322, 'rel_t_end': 391.739153896, 'anomaly': 'no_anomaly', 'transversity': 'no_transverse', 'severity': 'small_severity'}",0
"{'rel_t_start': 425.44957858, 'rel_t_end': 425.988869561, 'anomaly': 'crack', 'transversity': 'no_transverse', 'severity': 'small_severity'}",0
"{'rel_t_start': 426.119096153, 'rel_t_end': 426.980246986, 'anomaly': 'bump', 'transversity': 'transverse', 'severity': 'small_severity'}",0
"{'rel_t_start': 456.649036191, 'rel_t_end': 456.998833042, 'anomaly': 'crack', 'transversity': 'no_transverse', 'severity': 'small_severity'}",0
"{'rel_t_start': 458.13890069, 'rel_t_end': 458.621690097, 'anomaly': 'bump', 'transversity': 'transverse', 'severity': 'small_severity'}",0
"{'rel_t_start': 459.328988893, 'rel_t_end': 459.749370911, 'anomaly': 'depression', 'transversity': 'no_transverse', 'severity': 'small_severity'}",0
"{'rel_t_start': 460.198820355, 'rel_t_end': 460.848924207, 'anomaly': 'depression', 'transversity': 'no_transverse', 'severity': 'middle_severity'}",0
"{'rel_t_start': 466.449163981, 'rel_t_end': 466.649293888, 'anomaly': 'crack', 'transversity': 'no_transverse', 'severity': 'small_severity'}",0
"{'rel_t_start': 477.638943474, 'rel_t_end': 477.938895048, 'anomaly': 'crack', 'transversity': 'no_transverse', 'severity': 'small_severity'}",0
"{'rel_t_start': 479.499380677, 'rel_t_end': 479.97900614, 'anomaly': 'bump', 'transversity': 'transverse', 'severity': 'small_severity'}",0
"{'rel_t_start': 480.009955825, 'rel_t_end': 481.328882361, 'anomaly': 'bump', 'transversity': 'no_transverse', 'severity': 'small_severity'}",0
"{'rel_t_start': 482.819036916, 'rel_t_end': 483.068819304, 'anomaly': 'crack', 'transversity': 'no_transverse', 'severity': 'small_severity'}",0
"{'rel_t_start': 484.439099767, 'rel_t_end': 486.939178802, 'anomaly': 'crack', 'transversity': 'no_transverse', 'severity': 'small_severity'}",0
"{'rel_t_start': 484.998856859, 'rel_t_end': 485.518953859, 'anomaly': 'bump', 'transversity': 'no_transverse', 'severity': 'small_severity'}",0
"{'rel_t_start': 487.288999691, 'rel_t_end': 487.859152468, 'anomaly': 'crack', 'transversity': 'no_transverse', 'severity': 'small_severity'}",0
"{'rel_t_start': 487.918845913, 'rel_t_end': 489.648867578, 'anomaly': 'crack', 'transversity': 'transverse', 'severity': 'middle_severity'}",0
"{'rel_t_start': 487.978990098, 'rel_t_end': 488.598825523, 'anomaly': 'bump', 'transversity': 'no_transverse', 'severity': 'high_severity'}",0
"{'rel_t_start': 489.099010597, 'rel_t_end': 489.689758245, 'anomaly': 'depression', 'transversity': 'no_transverse', 'severity': 'high_severity'}",0
"{'rel_t_start': 490.959572559, 'rel_t_end': 491.549484262, 'anomaly': 'bump', 'transversity': 'no_transverse', 'severity': 'small_severity'}",0
"{'rel_t_start': 492.280093595, 'rel_t_end': 492.869199725, 'anomaly': 'crack', 'transversity': 'no_transverse', 'severity': 'small_severity'}",0
"{'rel_t_start': 493.378848687, 'rel_t_end': 493.869103465, 'anomaly': 'crack', 'transversity': 'no_transverse', 'severity': 'small_severity'}",0
"{'rel_t_start': 494.139743687, 'rel_t_end': 494.318950427, 'anomaly': 'crack', 'transversity': 'no_transverse', 'severity': 'small_severity'}",0
"{'rel_t_start': 494.420373853, 'rel_t_end': 494.628923761, 'anomaly': 'crack', 'transversity': 'no_transverse', 'severity': 'small_severity'}",0
"{'rel_t_start': 495.528997834, 'rel_t_end': 495.928839963, 'anomaly': 'crack', 'transversity': 'no_transverse', 'severity': 'small_severity'}",0
"{'rel_t_start': 497.610452055, 'rel_t_end': 497.880404888, 'anomaly': 'crack', 'transversity': 'no_transverse', 'severity': 'small_severity'}",0
"{'rel_t_start': 500.589070738, 'rel_t_end': 501.158901553, 'anomaly': 'depression', 'transversity': 'no_transverse', 'severity': 'small_severity'}",0
"{'rel_t_start': 504.149068736, 'rel_t_end': 505.919179032, 'anomaly': 'crack', 'transversity': 'transverse', 'severity': 'middle_severity'}",0
"{'rel_t_start': 504.479207199, 'rel_t_end': 504.629052681, 'anomaly': 'bump', 'transversity': 'no_transverse', 'severity': 'small_severity'}",0
"{'rel_t_start': 505.02906394, 'rel_t_end': 505.279385958, 'anomaly': 'bump', 'transversity': 'no_transverse', 'severity': 'small_severity'}",0
"{'rel_t_start': 507.388778827, 'rel_t_end': 508.188809215, 'anomaly': 'crack', 'transversity': 'no_transverse', 'severity': 'small_severity'}",0
"{'rel_t_start': 507.739790012, 'rel_t_end': 508.099189308, 'anomaly': 'depression', 'transversity': 'no_transverse', 'severity': 'middle_severity'}",0
